,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
2,33,entrepreneur,married,1,no,2,yes,yes,unknown,5,5,76,1,-1,0,unknown,0
4,33,unknown,single,3,no,1,no,no,unknown,5,5,198,1,-1,0,unknown,0
7,42,entrepreneur,divorced,2,yes,2,yes,no,unknown,5,5,380,1,-1,0,unknown,0
12,53,technician,married,1,no,6,yes,no,unknown,5,5,517,1,-1,0,unknown,0
19,33,services,married,1,no,0,yes,no,unknown,5,5,54,1,-1,0,unknown,0
24,40,retired,married,0,no,0,yes,yes,unknown,5,5,181,1,-1,0,unknown,0
33,59,blue-collar,married,1,no,0,yes,no,unknown,5,5,226,1,-1,0,unknown,0
39,37,admin,single,1,no,0,yes,no,unknown,5,5,137,1,-1,0,unknown,0
47,44,technician,married,1,no,0,yes,no,unknown,5,5,225,2,-1,0,unknown,0
48,55,technician,divorced,1,no,0,no,no,unknown,5,5,160,1,-1,0,unknown,0
49,29,management,single,2,no,0,yes,no,unknown,5,5,363,1,-1,0,unknown,0
52,32,management,married,2,no,0,yes,no,unknown,5,5,179,1,-1,0,unknown,0
60,32,admin,married,2,no,0,yes,no,unknown,5,5,138,1,-1,0,unknown,0
78,49,services,divorced,1,no,0,yes,yes,unknown,5,5,272,1,-1,0,unknown,0
79,55,services,divorced,1,yes,1,yes,no,unknown,5,5,208,1,-1,0,unknown,0
98,39,technician,married,1,no,0,yes,no,unknown,5,5,203,1,-1,0,unknown,0
104,27,technician,single,2,no,0,yes,no,unknown,5,5,400,1,-1,0,unknown,0
119,57,technician,married,0,no,0,no,no,unknown,5,5,98,1,-1,0,unknown,0
122,34,admin,married,3,no,3,yes,no,unknown,5,5,120,3,-1,0,unknown,0
128,31,blue-collar,married,1,no,0,yes,no,unknown,5,5,143,1,-1,0,unknown,0
134,28,unemployed,single,2,no,0,yes,no,unknown,5,5,125,2,-1,0,unknown,0
136,32,technician,single,1,no,0,yes,no,unknown,5,5,136,1,-1,0,unknown,0
137,43,services,single,3,no,0,no,no,unknown,5,5,73,1,-1,0,unknown,0
141,34,self-employed,single,1,no,3,yes,no,unknown,5,5,301,1,-1,0,unknown,0
148,43,services,married,0,no,3,yes,no,unknown,5,5,186,2,-1,0,unknown,0
151,26,student,single,1,no,0,yes,no,unknown,5,5,610,2,-1,0,unknown,0
155,41,services,married,1,no,0,yes,no,unknown,5,5,114,2,-1,0,unknown,0
169,50,blue-collar,married,0,no,0,no,no,unknown,5,5,233,3,-1,0,unknown,0
170,35,blue-collar,married,1,no,0,yes,no,unknown,5,5,1056,1,-1,0,unknown,0
189,31,management,single,2,no,0,yes,no,unknown,5,5,562,1,-1,0,unknown,0
204,35,services,married,1,no,0,yes,no,unknown,5,5,471,1,-1,0,unknown,0
223,55,retired,married,1,no,0,no,yes,unknown,5,5,136,1,-1,0,unknown,0
237,37,blue-collar,married,0,no,0,yes,no,unknown,5,5,79,1,-1,0,unknown,0
242,38,admin,married,1,no,0,no,no,unknown,5,5,151,1,-1,0,unknown,0
246,22,blue-collar,single,1,no,0,yes,no,unknown,5,5,179,2,-1,0,unknown,0
251,53,blue-collar,married,1,no,0,yes,yes,unknown,5,5,181,1,-1,0,unknown,0
252,34,services,single,1,no,0,yes,no,unknown,5,5,142,1,-1,0,unknown,0
269,40,blue-collar,married,0,no,0,yes,no,unknown,5,5,463,1,-1,0,unknown,0
270,42,management,single,2,no,0,yes,yes,unknown,5,5,562,2,-1,0,unknown,1
271,40,blue-collar,divorced,0,no,0,yes,no,unknown,5,5,962,1,-1,0,unknown,0
284,30,blue-collar,single,1,no,0,yes,no,unknown,5,5,5,2,-1,0,unknown,0
293,54,management,married,2,no,0,no,no,unknown,5,5,120,2,-1,0,unknown,0
296,31,blue-collar,single,1,no,3,yes,no,unknown,5,5,200,2,-1,0,unknown,0
309,43,management,married,3,no,0,yes,no,unknown,5,5,105,2,-1,0,unknown,0
