,age,education,balance,day,month,campaign,pdays,previous,y,job_admin,PCA1,PCA2,PCA3
2,0.28846153846153855,1.0,0.5,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8319584558080839,-0.7976094048487913,-0.0579289377456389
4,0.28846153846153855,3.0,0.375,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
7,0.46153846153846156,2.0,0.5,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6637637696172115,-1.2036818368741677,0.054064362771810814
12,0.6730769230769232,1.0,1.0,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083
19,0.28846153846153855,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
24,0.42307692307692313,0.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
33,0.7884615384615384,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083
39,0.3653846153846154,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,1.0,-0.9530030937983942,-0.7511540628073609,0.08458079402868734
47,0.5000000000000001,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
48,0.7115384615384616,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6705545088441217,-1.2279631198754593,-0.04747408982629586
49,0.21153846153846156,2.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
52,0.2692307692307693,2.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083
60,0.2692307692307693,2.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,1.0,-0.6925062223619866,-1.1800395514208761,0.12245084843205789
78,0.5961538461538463,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6924459878265253,-1.181131189954772,0.11461341202877684
79,0.7115384615384616,1.0,0.375,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0659569906256854,0.09695580728909858,0.13800472260313057
98,0.40384615384615385,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0639468114672848,0.15574171918041502,0.2797032571258866
104,0.17307692307692313,2.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.19528852539236,0.14455743230451434,0.17747239541037185
119,0.7500000000000001,0.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8249854289228692,-1.1390471326635931,0.1265508268608384
122,0.3076923076923077,3.0,0.625,5.0,5.0,3.0,-1.0,0.0,0.0,1.0,-0.7917814344927365,-0.8157887670179357,0.012094329939659643
128,0.25,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
134,0.1923076923076924,2.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.8232784864539597,-0.9473509489528363,-1.2630506295264423
136,0.2692307692307693,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8249854289228692,-1.1390471326635931,0.1265508268608384
137,0.48076923076923084,3.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
141,0.3076923076923077,1.0,0.625,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
148,0.48076923076923084,0.0,0.625,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
151,0.15384615384615385,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.6924459878265253,-1.181131189954772,0.11461341202877684
155,0.4423076923076924,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.6956538941561946,-1.1866487576790088,0.08708315405359723
169,0.6153846153846154,0.0,0.25,5.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
170,0.326923076923077,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
189,0.25,2.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0574593089298658,0.3129332740011468,-1.1500582811860434
204,0.326923076923077,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6637637696172115,-1.2036818368741677,0.054064362771810814
223,0.7115384615384616,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0560185796045671,0.1278462965485228,0.2749108695796979
237,0.3653846153846154,0.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
242,0.3846153846153847,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,1.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
246,0.07692307692307698,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
251,0.6730769230769232,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
252,0.3076923076923077,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
269,0.42307692307692313,0.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0589554664793197,0.33836083997642386,-1.1515618875550215
270,0.46153846153846156,2.0,0.25,5.0,5.0,2.0,-1.0,0.0,1.0,0.0,-1.0574593089298658,0.3129332740011468,-1.1500582811860434
271,0.42307692307692313,0.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
284,0.23076923076923084,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.6907390453576159,-0.9894350062440156,-1.2749880443585038
293,0.6923076923076924,2.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.8305035962299437,-0.7704122914129534,0.09379591688154265
296,0.25,1.0,0.625,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.6956538941561946,-1.1866487576790088,0.08708315405359723
309,0.48076923076923084,3.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083
317,0.6346153846153847,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.6924459878265253,-1.181131189954772,0.11461341202877684
318,0.42307692307692313,0.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
320,0.6346153846153847,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
330,0.576923076923077,1.0,0.375,5.0,5.0,3.0,-1.0,0.0,0.0,0.0,-0.6992367270534355,-1.2054124729560638,0.013074959430670163
338,0.6346153846153847,1.0,0.0,5.0,5.0,3.0,-1.0,0.0,0.0,1.0,-1.0542514026001966,0.3184508417253833,-1.1225280232108636
353,0.34615384615384615,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
367,0.48076923076923084,2.0,0.375,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6956538941561946,-1.1866487576790088,0.08708315405359723
378,0.28846153846153855,2.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
393,0.17307692307692313,1.0,0.75,6.0,5.0,1.0,-1.0,0.0,0.0,1.0,-1.0574593089298658,0.3129332740011468,-1.1500582811860434
395,0.2692307692307693,1.0,0.25,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
397,0.3846153846153847,1.0,0.375,6.0,5.0,1.0,-1.0,0.0,0.0,1.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
405,0.6153846153846154,2.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6924459878265253,-1.181131189954772,0.11461341202877684
406,0.7692307692307693,2.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
417,0.48076923076923084,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
423,0.42307692307692313,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0543116371356578,0.31954248025927934,-1.1146905868075825
432,0.40384615384615385,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083
443,0.11538461538461542,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
452,0.5384615384615385,3.0,0.5,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
457,0.3653846153846154,1.0,0.375,6.0,5.0,1.0,-1.0,0.0,1.0,0.0,-0.6907390453576159,-0.9894350062440156,-1.2749880443585038
461,0.40384615384615385,0.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
483,0.48076923076923084,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
485,0.6923076923076924,0.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0560185796045671,0.1278462965485228,0.2749108695796979
490,0.2692307692307693,1.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.8232784864539597,-0.9473509489528363,-1.2630506295264423
491,0.21153846153846156,1.0,0.375,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6924459878265253,-1.181131189954772,0.11461341202877684
492,0.34615384615384615,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
495,0.40384615384615385,1.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,1.0,-0.6907390453576159,-0.9894350062440156,-1.2749880443585038
513,0.4423076923076924,0.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8249854289228692,-1.1390471326635931,0.1265508268608384
523,0.21153846153846156,2.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
543,0.3076923076923077,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,1.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
564,0.7884615384615384,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
568,0.3076923076923077,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6871367191883667,-1.1877528838395537,0.1263241930392731
573,0.6538461538461539,3.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6924459878265253,-1.181131189954772,0.11461341202877684
584,0.3653846153846154,0.0,0.25,6.0,5.0,4.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
585,0.326923076923077,0.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.7917814344927365,-0.8157887670179357,0.012094329939659643
588,0.23076923076923084,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8305035962299437,-0.7704122914129534,0.09379591688154265
596,0.6923076923076924,1.0,0.25,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.0659982885969992,0.14958048670021357,0.2882259708613337
599,0.25,1.0,0.25,6.0,5.0,5.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
603,0.730769230769231,0.0,0.875,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.9530030937983942,-0.7511540628073609,0.08458079402868734
638,0.5000000000000001,1.0,0.375,6.0,5.0,4.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
643,0.46153846153846156,1.0,0.25,6.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
644,0.48076923076923084,1.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
652,0.5000000000000001,2.0,0.75,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-0.8305035962299437,-0.7704122914129534,0.09379591688154265
656,0.4423076923076924,3.0,0.75,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083
671,0.25,1.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.0622398689983752,0.3474379028911716,-1.1098981992613939
672,0.5961538461538463,1.0,0.375,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.0574593089298658,0.3129332740011468,-1.1500582811860434
679,0.4423076923076924,1.0,0.25,6.0,5.0,3.0,-1.0,0.0,0.0,1.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
684,0.46153846153846156,2.0,0.25,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
689,0.42307692307692313,0.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
696,0.42307692307692313,1.0,1.0,6.0,5.0,3.0,-1.0,0.0,0.0,1.0,-0.8204636527020504,-0.7932381200985402,0.07264337919662578
703,0.48076923076923084,1.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.0560185796045671,0.1278462965485228,0.2749108695796979
710,0.25,1.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,1.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
