,age,education,balance,day,month,campaign,pdays,previous,y,job_admin,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14
2,0.28846153846153855,1.0,0.5,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8319584558080839,-0.7976094048487913,-0.0579289377456389,0.9651502767676376,-0.21499130000134475,0.2123618026405817,-0.09610244778919415,-0.1009001839747341,-1.169575765704014,-0.7954516346226294,-0.47068321857532464,0.6571967059722308,-0.16452346020203398,-0.20201958459503017
4,0.28846153846153855,3.0,0.375,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725,0.16095407670981415,0.14387983579580876,-0.3773664512163714,-0.5615641970674237,-0.3443924006817,0.48936692174724894,-0.37419002216484426,-0.01479571885659392,0.022789139284887017,-0.019276832941151244,-0.0027359906405080483
7,0.46153846153846156,2.0,0.5,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6637637696172115,-1.2036818368741677,0.054064362771810814,-0.15423417426973357,0.1167745974958827,-0.5949869847877892,0.7416494484514105,-0.2081680347343734,0.1899108967822094,-0.0668759131965816,-0.01616568868464685,0.007826760761781543,-0.02168319784983754,-0.03313968351103013
12,0.6730769230769232,1.0,1.0,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083,0.19040616768975716,0.10126000483835029,-0.5367789952344841,0.7738869137340904,-0.25487430477407175,0.18126383182111394,-0.08694992712889243,-0.01765417513801626,0.009385295340507471,-0.0202478781057692,0.007212876956799107
19,0.28846153846153855,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853,-0.3668609124827557,-0.2816672879669486,0.46993818369658147,0.09489509385162473,-0.17835527098855575,0.0656689879997685,0.028869132720991786,-0.011237244146147907,-0.0013333204920553121,-0.017649615596651815,0.0073476412702056255
24,0.42307692307692313,0.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725,0.16095407670981415,0.14387983579580876,-0.3773664512163714,-0.5615641970674237,-0.3443924006817,0.48936692174724894,-0.37419002216484426,-0.01479571885659392,0.022789139284887017,-0.019276832941151244,-0.0027359906405080483
33,0.7884615384615384,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.027276126859792,0.10420401109523125,0.20652438391945083,0.19040616768975716,0.10126000483835029,-0.5367789952344841,0.7738869137340904,-0.25487430477407175,0.18126383182111394,-0.08694992712889243,-0.01765417513801626,0.009385295340507471,-0.0202478781057692,0.007212876956799107
39,0.3653846153846154,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,1.0,-0.9530030937983942,-0.7511540628073609,0.08458079402868734,0.4863062088372603,-0.6637505083338794,0.8920004733532201,0.0832164366901349,-0.10656358293777579,0.08688808831229489,0.07172948690538222,-0.023450700008630032,0.0008751808179679743,-0.026104104736664083,-0.003797375974761272
47,0.5000000000000001,1.0,0.25,5.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853,-0.3668609124827557,-0.2816672879669486,0.46993818369658147,0.09489509385162473,-0.17835527098855575,0.0656689879997685,0.028869132720991786,-0.011237244146147907,-0.0013333204920553121,-0.017649615596651815,0.0073476412702056255
48,0.7115384615384616,1.0,0.25,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.6705545088441217,-1.2279631198754593,-0.04747408982629586,-0.13962063173584682,0.1630293412539815,-0.5076086225177185,0.7818033071888738,-0.2852868029670759,-0.7017895230927254,-1.145488439775323,0.039190632220656496,-0.013176891244925201,-0.01544496380450961,-0.1075046004647097
